"d_relationship","d_gender","d_orientation","d_age","d_country","d_ethnicity","lf_for","lf_single","lf_want","AttachmnetStyle","mono","long","relationships","family","anx","avoid"
"Single","Woman","Bisexual",22,"CA","White","For  new friends, short-term dating","Who are single","All who like bi women","anxious",0.730769230769231,0.85,0.833333333333333,0.788461538461538,0,0
"Single","Woman","Straight",43,"NC","White","For  new friends, long-term dating, short-term dating","Who are single","Men","fearful",0.884615384615385,0.883333333333333,0.904761904761905,0.807692307692308,0.0714285714285714,0.0833333333333333
"Single","Woman","Straight",26,"CA","White","For  new friends","Who are single","Men who like women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0.0833333333333333
"Single","Woman","Gay",20,"NY","Hispanic / Latin","For  new friends, long-term dating","Who are single","Women","secure",0.846153846153846,0.916666666666667,0.916666666666667,0.865384615384615,0,0
"Single","Man","Straight",28,"UK","White","For  long-term dating, short-term dating","Who are single","Women","anxious",0.884615384615385,0.9,0.916666666666667,0.788461538461538,0,0
"Single","Man","Straight",27,"NY","Black","For  long-term dating, short-term dating, casual sex","Who are single","Women","secure",0.807692307692308,0.916666666666667,0.904761904761905,0.865384615384615,0,0
"Single","Woman","Straight",25,"MA","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.692307692307692,0.633333333333333,0.666666666666667,0.865384615384615,0,0.0833333333333333
"Single","Woman","Straight",32,"Philippines","Asian","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.769230769230769,0.6,0.666666666666667,0.903846153846154,0.142857142857143,0.0833333333333333
"Single","Man","Straight",34,"VA",NA,"For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","avoidant",0.923076923076923,0.733333333333333,0.80952380952381,0.788461538461538,0,0.0833333333333333
"Single","Man","Straight",40,"MA","White","For  new friends, long-term dating, short-term dating","Who are single","Women","avoidant",0.961538461538462,0.6,0.726190476190476,0.788461538461538,0,0.0833333333333333
"Single","Man","Straight",42,"OR","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","fearful",0.615384615384615,0.65,0.654761904761905,0.769230769230769,0.0714285714285714,0.0833333333333333
"Single","Man","Straight",41,"FL","White","For  long-term dating, short-term dating","Who are single","Women","secure",0.884615384615385,0.766666666666667,0.821428571428571,0.903846153846154,0.0714285714285714,0
"Single","Man","Straight",32,"TX","White","For  new friends, long-term dating","Who are single","Women","fearful",0.846153846153846,0.916666666666667,0.916666666666667,0.673076923076923,0.0714285714285714,0.0833333333333333
"Single","Man","Straight",18,"UK","Black","For  new friends, short-term dating, casual sex","Who are single","Women","secure",0.807692307692308,0.833333333333333,0.845238095238095,0.865384615384615,0,0.0833333333333333
"Single","Man","Straight",47,"MN","White","For  new friends, long-term dating, short-term dating","Who are single","Women","avoidant",0.807692307692308,0.85,0.833333333333333,0.673076923076923,0.0357142857142857,0.0833333333333333
"Single","Woman","Straight",35,"FL","Black, Native American","For  new friends, long-term dating, short-term dating","Who are single","Men","avoidant",0.884615384615385,0.833333333333333,0.869047619047619,0.788461538461538,0,0.0833333333333333
"Single","Woman","Straight",31,"IL",NA,"For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.730769230769231,0.766666666666667,0.773809523809524,0.884615384615385,0,0.0833333333333333
